1,Cu Chi, An Suong, 2012-11-10 04:47:53, 2012-11-10 05:30:16, 2543, 00:42:23
2,An Suong, Cu Chi, 2012-11-10 05:44:59, 2012-11-10 06:27:59, 2580, 00:43:00
3,Cu Chi, An Suong, 2012-11-10 07:22:29, 2012-11-10 08:05:31, 2582, 00:43:02
4,An Suong, Cu Chi, 2012-11-10 08:16:01, 2012-11-10 08:59:31, 2610, 00:43:30
5,Cu Chi, An Suong, 2012-11-10 09:22:01, 2012-11-10 10:06:32, 2671, 00:44:31
6,An Suong, Cu Chi, 2012-11-10 10:15:32, 2012-11-10 10:59:03, 2611, 00:43:31
7,Cu Chi, An Suong, 2012-11-10 15:18:29, 2012-11-10 16:00:29, 2520, 00:42:00
8,An Suong, Cu Chi, 2012-11-10 16:13:29, 2012-11-10 17:02:00, 2911, 00:48:31
9,Cu Chi, An Suong, 2012-11-10 17:17:00, 2012-11-10 18:00:02, 2582, 00:43:02
10,An Suong, Cu Chi, 2012-11-10 18:10:02, 2012-11-10 18:54:02, 2640, 00:44:00
