0|1|10.8435|106.61475|10.84242|106.61527|5 QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|10 QL1A, Tân Thới Nhất, Quận 12, Hồ Chí Minh, Vietnam|145|0.1 km|30000|00:00:30
1|2|10.84242|106.61527|10.84299|106.61543|Trường Chinh, Tân Thới Nhất, Quận 12, Hồ Chí Minh, Vietnam|Xa lộ Hà Nội, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|116|0.1 km|30000|00:00:30
2|3|10.84299|106.61543|10.8439|106.61469|Xa lộ Hà Nội, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|16 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|137|0.1 km|30000|00:00:30
3|4|10.8439|106.61469|10.84471|106.61416|16 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|1A/1 QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|107|0.1 km|30000|00:00:30
4|5|10.84471|106.61416|10.8455|106.61363|1A/1 QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|105|0.1 km|30000|00:00:30
5|6|10.8455|106.61363|10.84624|106.61319|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|5B QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|95|0.1 km|30000|00:00:30
6|7|10.84624|106.61319|10.84628|106.61311|5B QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|8|8 m|30000|00:00:30
7|8|10.84628|106.61311|10.84629|106.61308|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|3|3 m|30000|00:00:30
8|9|10.84629|106.61308|10.84628|106.61312|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|1269|1.3 km|30000|00:00:30
9|10|10.84628|106.61312|10.84629|106.61313|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|0|1 m|30000|00:00:30
10|11|10.84629|106.61313|10.84628|106.61313|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|585|0.6 km|30000|00:00:30
11|12|10.84628|106.61313|10.84718|106.61253|9C QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|120|0.1 km|30000|00:00:30
12|13|10.84718|106.61253|10.84898|106.6113|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|166 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|241|0.2 km|30000|00:00:30
13|14|10.84898|106.6113|10.85131|106.60983|166 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|29 Xuyên Á, Bà Điểm, Hóc Môn, Hồ Chí Minh, Vietnam|305|0.3 km|30000|00:00:30
14|15|10.85131|106.60983|10.85344|106.60852|29 Xuyên Á, Bà Điểm, Hóc Môn, Hồ Chí Minh, Vietnam|194D QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|276|0.3 km|30000|00:00:30
15|16|10.85344|106.60852|10.85507|106.60748|194D QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|193D QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|214|0.2 km|30000|00:00:30
16|17|10.85507|106.60748|10.85518|106.60737|193D QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|193D QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|975|1.0 km|30000|00:00:30
17|18|10.85518|106.60737|10.85601|106.60685|193D QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|108|0.1 km|30000|00:00:30
18|19|10.85601|106.60685|10.85802|106.60548|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|269|0.3 km|30000|00:00:30
19|20|10.85802|106.60548|10.86072|106.60352|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|37/3 QL22, Trung Chánh, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|2227|2.2 km|30000|00:00:30
20|21|10.86072|106.60352|10.86118|106.60321|37/3 QL22, Trung Chánh, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|37/3 QL22, Trung Chánh, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|61|61 m|30000|00:00:30
21|22|10.86118|106.60321|10.86213|106.60256|37/3 QL22, Trung Chánh, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|37/3 QL22, Trung Chánh, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|127|0.1 km|30000|00:00:30
22|23|10.86213|106.60256|10.86432|106.60098|37/3 QL22, Trung Chánh, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|298|0.3 km|30000|00:00:30
23|24|10.86432|106.60098|10.86734|106.59883|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|410|0.4 km|30000|00:00:30
24|25|10.86734|106.59883|10.86989|106.59702|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|1 Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|346|0.3 km|30000|00:00:30
25|26|10.86989|106.59702|10.87032|106.5967|1 Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|58/4B QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|59|59 m|24000|00:00:24
26|27|10.87032|106.5967|10.87052|106.5965|58/4B QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|3 QL22, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|31|31 m|6000|00:00:06
27|28|10.87052|106.5965|10.87258|106.5951|3 QL22, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|3 Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|275|0.3 km|30000|00:00:30
28|29|10.87258|106.5951|10.87507|106.59335|3 Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|3 Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|336|0.3 km|30000|00:00:30
29|30|10.87507|106.59335|10.87743|106.59165|3 Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|27 QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|321|0.3 km|30000|00:00:30
30|31|10.87743|106.59165|10.87921|106.5904|27 QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|27 QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|240|0.2 km|30000|00:00:30
31|32|10.87921|106.5904|10.88184|106.58855|27 QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|27 QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|355|0.4 km|30000|00:00:30
32|33|10.88184|106.58855|10.8841|106.58698|27 QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|88/1B QL22, Hóc Môn, Hồ Chí Minh, Vietnam|304|0.3 km|30000|00:00:30
33|34|10.8841|106.58698|10.88636|106.58538|88/1B QL22, Hóc Môn, Hồ Chí Minh, Vietnam|88/1B QL22, Hóc Môn, Hồ Chí Minh, Vietnam|306|0.3 km|30000|00:00:30
